support,itemsets
1.0,frozenset({'Region'})
1.0,frozenset({'Country'})
1.0,frozenset({'Item Type'})
1.0,frozenset({'Sales Channel'})
1.0,frozenset({'Order Priority'})
1.0,frozenset({'Order Date'})
1.0,frozenset({'Order ID'})
1.0,frozenset({'Ship Date'})
1.0,frozenset({'Units Sold'})
1.0,frozenset({'Unit Price'})
1.0,frozenset({'Unit Cost'})
1.0,frozenset({'Total Revenue'})
1.0,frozenset({'Total Cost'})
1.0,frozenset({'Total Profit'})
1.0,"frozenset({'Country', 'Region'})"
1.0,"frozenset({'Region', 'Item Type'})"
1.0,"frozenset({'Sales Channel', 'Region'})"
1.0,"frozenset({'Order Priority', 'Region'})"
1.0,"frozenset({'Order Date', 'Region'})"
1.0,"frozenset({'Region', 'Order ID'})"
1.0,"frozenset({'Ship Date', 'Region'})"
1.0,"frozenset({'Region', 'Units Sold'})"
1.0,"frozenset({'Unit Price', 'Region'})"
1.0,"frozenset({'Unit Cost', 'Region'})"
1.0,"frozenset({'Total Revenue', 'Region'})"
1.0,"frozenset({'Region', 'Total Cost'})"
1.0,"frozenset({'Region', 'Total Profit'})"
1.0,"frozenset({'Country', 'Item Type'})"
1.0,"frozenset({'Sales Channel', 'Country'})"
1.0,"frozenset({'Order Priority', 'Country'})"
1.0,"frozenset({'Order Date', 'Country'})"
1.0,"frozenset({'Country', 'Order ID'})"
1.0,"frozenset({'Country', 'Ship Date'})"
1.0,"frozenset({'Country', 'Units Sold'})"
1.0,"frozenset({'Unit Price', 'Country'})"
1.0,"frozenset({'Country', 'Unit Cost'})"
1.0,"frozenset({'Total Revenue', 'Country'})"
1.0,"frozenset({'Country', 'Total Cost'})"
1.0,"frozenset({'Country', 'Total Profit'})"
1.0,"frozenset({'Sales Channel', 'Item Type'})"
1.0,"frozenset({'Order Priority', 'Item Type'})"
1.0,"frozenset({'Order Date', 'Item Type'})"
1.0,"frozenset({'Order ID', 'Item Type'})"
1.0,"frozenset({'Ship Date', 'Item Type'})"
1.0,"frozenset({'Item Type', 'Units Sold'})"
1.0,"frozenset({'Unit Price', 'Item Type'})"
1.0,"frozenset({'Unit Cost', 'Item Type'})"
1.0,"frozenset({'Total Revenue', 'Item Type'})"
1.0,"frozenset({'Total Cost', 'Item Type'})"
1.0,"frozenset({'Item Type', 'Total Profit'})"
1.0,"frozenset({'Sales Channel', 'Order Priority'})"
1.0,"frozenset({'Sales Channel', 'Order Date'})"
1.0,"frozenset({'Sales Channel', 'Order ID'})"
1.0,"frozenset({'Sales Channel', 'Ship Date'})"
1.0,"frozenset({'Sales Channel', 'Units Sold'})"
1.0,"frozenset({'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Sales Channel', 'Unit Cost'})"
1.0,"frozenset({'Total Revenue', 'Sales Channel'})"
1.0,"frozenset({'Sales Channel', 'Total Cost'})"
1.0,"frozenset({'Sales Channel', 'Total Profit'})"
1.0,"frozenset({'Order Priority', 'Order Date'})"
1.0,"frozenset({'Order Priority', 'Order ID'})"
1.0,"frozenset({'Order Priority', 'Ship Date'})"
1.0,"frozenset({'Order Priority', 'Units Sold'})"
1.0,"frozenset({'Order Priority', 'Unit Price'})"
